,parcel,taxpayer,role_percentage,mkt_value_land,mkt_value_impvt,new_constr,mkt_total,pers_prop_assd_value,taxable_reg,prop_use_desc
35011,11041.9026,BADGER LAKE ESTATES LLC,100.0,22000,0,0,22000,0,22000,91 Vacant Land
35010,11041.9026,BADGER LAKE ESTATES LLC,100.0,22000,0,0,22000,0,22000,91 Vacant Land
35013,11041.9026,BADGER LAKE ESTATES LLC,100.0,25000,0,0,25000,0,25000,91 Vacant Land
103873,24181.1205,BADGER LLC,100.0,27000,245300,0,272300,0,272300,11 Single Unit
103874,24181.1205,BADGER LLC,100.0,40000,231700,0,271700,0,271700,11 Single Unit
103876,24181.1205,BADGER LLC,100.0,50000,280100,0,330100,0,330100,11 Single Unit
103875,24181.1205,BADGER LLC,100.0,50000,245300,0,295300,0,295300,11 Single Unit
754387,46311.3706,BENNETT FAMILY REV TR/CHARLES & DEBORAH,100.0,50000,254300,0,304300,0,304300,11 Single Unit
754386,46311.3706,BENNETT FAMILY REV TR/CHARLES & DEBORAH,100.0,44000,227900,0,271900,0,271900,11 Single Unit
754385,46311.3706,BENNETT FAMILY REV TR/CHARLES & DEBORAH,100.0,42500,209800,0,252300,0,252300,11 Single Unit
754384,46311.3706,BENNETT FAMILY REV TR/CHARLES & DEBORAH,100.0,42500,198300,0,240800,0,240800,11 Single Unit
775864,49102.9061,BENNETT FAMILY TRUST,100.0,96390,0,0,96390,0,9970,83 Cur - Use - Ag
814105,55151.2926,BENNETT FAMILY TRUST,100.0,52500,255200,0,307700,0,307700,11 Single Unit
775866,49102.9061,BENNETT FAMILY TRUST,100.0,96390,0,0,96390,0,9240,83 Cur - Use - Ag
814106,55151.2926,BENNETT FAMILY TRUST,100.0,57750,265800,0,323550,0,323550,11 Single Unit
775867,49102.9061,BENNETT FAMILY TRUST,100.0,96390,0,0,96390,0,7560,83 Cur - Use - Ag
775865,49102.9061,BENNETT FAMILY TRUST,100.0,67470,0,0,67470,0,9240,83 Cur - Use - Ag
775855,49102.9057,BENNETT FAMILY TRUST,100.0,86780,441700,0,528480,0,457490,83 Cur - Use - Ag
814107,55151.2926,BENNETT FAMILY TRUST,100.0,57750,273300,0,331050,0,331050,11 Single Unit
775853,49102.9057,BENNETT FAMILY TRUST,100.0,86780,334500,0,421280,0,350790,83 Cur - Use - Ag
775852,49102.9057,BENNETT FAMILY TRUST,100.0,86780,308800,0,395580,0,325290,83 Cur - Use - Ag
814108,55151.2926,BENNETT FAMILY TRUST,100.0,57750,314100,0,371850,0,371850,11 Single Unit
775854,49102.9057,BENNETT FAMILY TRUST,100.0,86780,368800,0,455580,0,385090,83 Cur - Use - Ag
832607,55221.0904,BENNETT INDUSTRIES INC,100.0,16010,102400,0,118410,0,118410,14 Hotel/Condo
832608,55221.0904,BENNETT INDUSTRIES INC,100.0,16010,102400,0,118410,0,118410,14 Hotel/Condo
832609,55221.0904,BENNETT INDUSTRIES INC,100.0,16010,112600,0,128610,0,128610,14 Hotel/Condo
832610,55221.0904,BENNETT INDUSTRIES INC,100.0,16010,147300,0,163310,0,163310,14 Hotel/Condo
782030,51264.9012,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,1510,88 Designated Forest Lnd
781947,51233.9007,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,10,88 Designated Forest Lnd
781953,51234.9008,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,2510,88 Designated Forest Lnd
781949,51233.9007,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,10,88 Designated Forest Lnd
782029,51264.9012,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,1480,88 Designated Forest Lnd
782028,51264.9012,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,1480,88 Designated Forest Lnd
782027,51264.9012,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,1430,88 Designated Forest Lnd
782022,51264.9010,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,760,88 Designated Forest Lnd
782021,51264.9010,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,740,88 Designated Forest Lnd
782020,51264.9010,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,740,88 Designated Forest Lnd
782019,51264.9010,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,720,88 Designated Forest Lnd
782014,51264.9008,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,760,88 Designated Forest Lnd
782013,51264.9008,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,740,88 Designated Forest Lnd
782012,51264.9008,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,740,88 Designated Forest Lnd
782011,51264.9008,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,730,88 Designated Forest Lnd
782010,51263.9005,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,1280,88 Designated Forest Lnd
782009,51263.9005,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,1280,88 Designated Forest Lnd
782008,51263.9005,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,1280,88 Designated Forest Lnd
782007,51263.9005,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,1280,88 Designated Forest Lnd
782002,51261.9001,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,4790,88 Designated Forest Lnd
782001,51261.9001,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,4690,88 Designated Forest Lnd
782000,51261.9001,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,4690,88 Designated Forest Lnd
781999,51261.9001,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,4590,88 Designated Forest Lnd
781954,51234.9008,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,2510,88 Designated Forest Lnd
781952,51234.9008,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,2510,88 Designated Forest Lnd
781951,51234.9008,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,2510,88 Designated Forest Lnd
781950,51233.9007,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,10,88 Designated Forest Lnd
781948,51233.9007,BENNETT LUMBER PRODUCTS INC,100.0,0,0,0,0,0,10,88 Designated Forest Lnd
351968,35083.4205,CASA DEL SOL LLC,100.0,35500,123000,0,158500,0,158500,12 Two-to-Four Unit
351969,35083.4205,CASA DEL SOL LLC,100.0,35500,131900,0,167400,0,167400,12 Two-to-Four Unit
351966,35083.4205,CASA DEL SOL LLC,100.0,21300,123000,0,144300,0,144300,12 Two-to-Four Unit
351967,35083.4205,CASA DEL SOL LLC,100.0,23080,123000,0,146080,0,146080,12 Two-to-Four Unit
400993,35203.4009,CASA DON CONDOMINIUM ASSOCIATION,100.0,100,0,0,100,0,0,14 Hotel/Condo
400994,35203.4009,CASA DON CONDOMINIUM ASSOCIATION,100.0,100,0,0,100,0,0,14 Hotel/Condo
400995,35203.4009,CASA DON CONDOMINIUM ASSOCIATION,100.0,100,0,0,100,0,0,14 Hotel/Condo
400996,35203.4009,CASA DON CONDOMINIUM ASSOCIATION,100.0,100,0,0,100,0,0,14 Hotel/Condo
401013,35203.4105,CASA DON II CONDOS HMOWNRS ASSOC,100.0,100,0,0,100,0,0,14 Hotel/Condo
401014,35203.4105,CASA DON II CONDOS HMOWNRS ASSOC,100.0,100,0,0,100,0,0,14 Hotel/Condo
401015,35203.4105,CASA DON II CONDOS HMOWNRS ASSOC,100.0,100,0,0,100,0,0,14 Hotel/Condo
401016,35203.4105,CASA DON II CONDOS HMOWNRS ASSOC,100.0,100,0,0,100,0,0,14 Hotel/Condo
636506,44284.9038,CASACANO FARMS LLC,100.0,108890,92500,0,201390,0,201390,83 Cur - Use - Ag
636507,44284.9038,CASACANO FARMS LLC,100.0,128620,98000,0,226620,0,122520,83 Cur - Use - Ag
636505,44284.9038,CASACANO FARMS LLC,100.0,93900,79200,0,173100,0,173100,11 Single Unit
636504,44284.9038,CASACANO FARMS LLC,100.0,93900,79200,0,173100,0,100510,11 Single Unit
76774,15254.0064,DEALERS BUSINESS PARK LLC,100.0,80510,944300,0,1024810,0,1024810,64 Service - Repair
76733,15254.0053,DEALERS BUSINESS PARK LLC,100.0,15260,24200,0,39460,0,39460,91 Vacant Land
76732,15254.0053,DEALERS BUSINESS PARK LLC,100.0,15260,24200,0,39460,0,39460,91 Vacant Land
76776,15254.0064,DEALERS BUSINESS PARK LLC,100.0,80510,932300,0,1012810,0,1012810,64 Service - Repair
76775,15254.0064,DEALERS BUSINESS PARK LLC,100.0,80510,916000,0,996510,0,996510,64 Service - Repair
76777,15254.0064,DEALERS BUSINESS PARK LLC,100.0,80510,941800,0,1022310,0,1022310,64 Service - Repair
76731,15254.0053,DEALERS BUSINESS PARK LLC,100.0,15260,24200,0,39460,0,39460,91 Vacant Land
76729,15254.0052,DEALERS BUSINESS PARK LLC,100.0,19700,31600,0,51300,0,51300,91 Vacant Land
76728,15254.0052,DEALERS BUSINESS PARK LLC,100.0,19700,31600,0,51300,0,51300,91 Vacant Land
76727,15254.0052,DEALERS BUSINESS PARK LLC,100.0,19700,31600,0,51300,0,51300,91 Vacant Land
76726,15254.0052,DEALERS BUSINESS PARK LLC,100.0,19700,31600,0,51300,0,51300,91 Vacant Land
76730,15254.0053,DEALERS BUSINESS PARK LLC,100.0,15260,24200,0,39460,0,39460,91 Vacant Land
15719,00.028732,DESIGN SPIKE INC,100.0,0,0,0,12362,12362,12362,69 Service - Miscellaneous
15718,00.028732,DESIGN SPIKE INC,100.0,0,0,0,16865,16865,16865,69 Service - Miscellaneous
15717,00.028732,DESIGN SPIKE INC,100.0,0,0,0,20403,20403,20403,69 Service - Miscellaneous
159752,25244.4507,DREW BENNETT PROPERTIES LLC,100.0,38500,137700,0,176200,0,176200,13 Five-Plus Unit
159753,25244.4507,DREW BENNETT PROPERTIES LLC,100.0,38500,143000,0,181500,0,181500,13 Five-Plus Unit
159754,25244.4507,DREW BENNETT PROPERTIES LLC,100.0,38500,222200,0,260700,0,260700,13 Five-Plus Unit
159755,25244.4507,DREW BENNETT PROPERTIES LLC,100.0,38500,253000,0,291500,0,291500,13 Five-Plus Unit
183178,26161.3116,LACEY-TANNER LIVING TRUST,100.0,60000,331800,0,391800,0,391800,11 Single Unit
183180,26161.3116,LACEY-TANNER LIVING TRUST,100.0,60000,388800,0,448800,0,448800,11 Single Unit
183181,26161.3116,LACEY-TANNER LIVING TRUST,100.0,65000,415800,0,480800,0,480800,11 Single Unit
183179,26161.3116,LACEY-TANNER LIVING TRUST,100.0,60000,352500,0,412500,0,412500,11 Single Unit
282426,34043.0505,LOWRY BENNETT & ASSOCIATES,100.0,67160,171900,0,239060,0,239060,11 Single Unit
282424,34043.0505,LOWRY BENNETT & ASSOCIATES,100.0,50920,128000,0,178920,0,178920,11 Single Unit
282423,34043.0505,LOWRY BENNETT & ASSOCIATES,100.0,37440,128000,0,165440,0,165440,11 Single Unit
282425,34043.0505,LOWRY BENNETT & ASSOCIATES,100.0,61060,135300,0,196360,0,196360,11 Single Unit
209166,26264.2306,LOWRY BENNETT & ASSOCIATES,100.0,36000,114000,0,150000,0,150000,11 Single Unit
209167,26264.2306,LOWRY BENNETT & ASSOCIATES,100.0,36000,130200,0,166200,0,166200,11 Single Unit
209168,26264.2306,LOWRY BENNETT & ASSOCIATES,100.0,36000,139600,0,175600,0,175600,11 Single Unit
209169,26264.2306,LOWRY BENNETT & ASSOCIATES,100.0,36000,155500,0,191500,0,191500,11 Single Unit
17261,00.030286,MI CASA,100.0,0,0,0,44480,44480,44480,58 Retail - Eating
17262,00.030286,MI CASA,100.0,0,0,0,15186,15186,15186,58 Retail - Eating
56598,14181.0064,NEWCASA LLC,100.0,25000,65100,0,90100,0,90100,11 Single Unit
56592,14181.0063,NEWCASA LLC,100.0,28000,137100,0,165100,0,165100,12 Two-to-Four Unit
56593,14181.0063,NEWCASA LLC,100.0,28000,140700,0,168700,0,168700,12 Two-to-Four Unit
56594,14181.0063,NEWCASA LLC,100.0,28000,178200,0,206200,0,206200,12 Two-to-Four Unit
56595,14181.0063,NEWCASA LLC,100.0,28000,195500,0,223500,0,223500,12 Two-to-Four Unit
56599,14181.0064,NEWCASA LLC,100.0,25000,76700,0,101700,0,101700,11 Single Unit
56596,14181.0064,NEWCASA LLC,100.0,25000,57300,0,82300,0,82300,11 Single Unit
56597,14181.0064,NEWCASA LLC,100.0,25000,58600,0,83600,0,83600,11 Single Unit
229308,26362.1325,SPIKE RENTAL PROPERTY LLC,100.0,23550,59500,0,83050,0,83050,11 Single Unit
229310,26362.1325,SPIKE RENTAL PROPERTY LLC,100.0,32000,78400,0,110400,0,110400,11 Single Unit
229309,26362.1325,SPIKE RENTAL PROPERTY LLC,100.0,29550,70100,0,99650,0,99650,11 Single Unit
229307,26362.1325,SPIKE RENTAL PROPERTY LLC,100.0,23550,49400,0,72950,0,72950,11 Single Unit
280006,34042.1202,TYRONE L BENNETT 2016 LIVING TRUST,100.0,65000,262500,0,327500,0,327500,11 Single Unit
280004,34042.1202,TYRONE L BENNETT 2016 LIVING TRUST,100.0,50000,203900,0,253900,0,253900,11 Single Unit
280003,34042.1202,TYRONE L BENNETT 2016 LIVING TRUST,100.0,45000,200300,0,245300,0,245300,11 Single Unit
280005,34042.1202,TYRONE L BENNETT 2016 LIVING TRUST,100.0,60000,222100,0,282100,0,282100,11 Single Unit
657150,45074.0704,WOLFF 1825 HUTCHINSON LLC,100.0,302240,1626500,0,1928740,0,1928740,61 Service - Finance
657151,45074.0704,WOLFF 1825 HUTCHINSON LLC,100.0,302240,1628500,0,1930740,0,1930740,61 Service - Finance
657152,45074.0704,WOLFF 1825 HUTCHINSON LLC,100.0,302240,1659400,0,1961640,0,1961640,61 Service - Finance
657153,45074.0704,WOLFF 1825 HUTCHINSON LLC,100.0,302240,1697000,0,1999240,0,1999240,61 Service - Finance
6747,00.015728,WOLFF HISLOP & CROCKETT PLLC,100.0,0,0,0,13685,13685,13685,65 Service - Professional
6749,00.015728,WOLFF HISLOP & CROCKETT PLLC,100.0,0,0,0,13892,13892,13892,65 Service - Professional
6748,00.015728,WOLFF HISLOP & CROCKETT PLLC,100.0,0,0,0,14827,14827,14827,65 Service - Professional
269460,34.230608,WOLFF LODGING CO,100.0,0,0,0,166272,166272,166272,69 Service - Miscellaneous
269459,34.230608,WOLFF LODGING CO,100.0,0,0,0,162066,162066,162066,69 Service - Miscellaneous
269458,34.230608,WOLFF LODGING CO,100.0,0,0,0,186577,186577,186577,69 Service - Miscellaneous
19875,00.032381,WOLFFY BREAKFAST BURGERS & BREW,100.0,0,0,0,72860,72860,72860,58 Retail - Eating
864404,70.017276,WOLFFY'S HAMBURGERS,100.0,0,0,0,9688,9688,9688,58 Retail - Eating
864405,70.017276,WOLFFY'S HAMBURGERS,100.0,0,0,0,9037,9037,9037,58 Retail - Eating
864406,70.017276,WOLFFY'S HAMBURGERS,100.0,0,0,0,8647,8647,8647,58 Retail - Eating
